genename,Tot.var,at_least_1patho,Tot.mis.var,Frac.P,Frac.LP,Frac.P.LP,Frac.B,Frac.LB,Frac.B.LB,Frac.VUS,Frac.conflict,Len.of.Protein,cancer.gene,Norm.tot.mis.var,Ps_cnt,Ps_IR_cnt,Ps_b_cnt,Ps_p_cnt,p.ir,p.b,p.p,Bs_cnt,Bs_IR_cnt,Bs_b_cnt,Bs_p_cnt,b.ir,b.b,b.p,VUS_cnt,VUS_IR_cnt,VUS_b_cnt,VUS_p_cnt,vus.ir,vus.b,vus.p,gnomad_var,gnomad_revel,gnomad_revel_IR,gnomad_IR_frac,gnomad_mis,gnomad_mis_revel,gnomad_mis_revel_IR,gnomad_mis_revel_IR_frac
KRT78,7,N,4,0,0,0,1,0,0,0,0,520,N,0.007692308,0,0,0,0,0,0,0,4,1,3,0,0.25,0.75,0,0,0,0,0,0,0,0,999,413,128,0.309927361,338,338,127,0.375739645
KRT8,38,N,21,0,0,0,0.142857143,0.095238095,0.19047619,0.142857143,0,483,N,0.043478261,0,0,0,0,0,0,0,9,4,2,3,0.444444444,0.222222222,0.333333333,3,2,0,1,0.666666667,0,0.333333333,830,285,132,0.463157895,267,267,139,0.520599251
KRT80,3,N,3,0,0,0,1,0,0,0,0,452,N,0.006637168,0,0,0,0,0,0,0,3,2,1,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,811,280,107,0.382142857,279,279,105,0.376344086
KRT81,31,Y,7,0.285714286,0,0,0.571428571,0.142857143,0,0,0,505,N,0.013861386,2,0,0,2,0,0,1,5,3,2,0,0.6,0.4,0,0,0,0,0,0,0,0,734,277,135,0.487364621,302,302,149,0.493377483
KRT83,111,Y,38,0.026315789,0.052631579,0,0.5,0.105263158,0,0.289473684,0.026315789,566,N,0.067137809,3,0,0,3,0,0,1,23,12,7,4,0.52173913,0.304347826,0.173913043,11,6,3,2,0.545454545,0.272727273,0.181818182,902,334,155,0.464071856,373,373,178,0.477211796
KRT85,18,Y,3,0,0,0,0.666666667,0,0,0.333333333,0,507,N,0.00591716,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1,0,0,771,277,137,0.494584838,306,306,157,0.513071895
KRT86,65,Y,11,0.545454545,0,0,0.181818182,0.090909091,0,0.090909091,0,486,N,0.022633745,6,0,0,6,0,0,1,3,3,0,0,1,0,0,1,1,0,0,1,0,0,972,372,160,0.430107527,323,323,156,0.482972136
KRT9,111,Y,50,0.22,0,0.04,0,0.04,0.02,0.52,0.02,623,N,0.080256822,13,1,0,12,0.076923077,0,0.923076923,3,1,2,0,0.333333333,0.666666667,0,26,16,9,1,0.615384615,0.346153846,0.038461538,728,341,191,0.560117302,341,341,191,0.560117302
KRTAP1-3,3,N,1,0,0,0,0,0,0,1,0,167,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,339,184,26,0.141304348,99,99,17,0.171717172
KRTAP4-4,1,N,1,0,0,0,1,0,0,0,0,181,N,0.005524862,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,201,112,1,0.008928571,110,110,0,0
KRTAP4-8,1,N,1,0,0,0,1,0,0,0,0,185,N,0.005405405,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,529,309,1,0.003236246,127,127,0,0
KRTAP5-5,1,N,1,0,0,0,1,0,0,0,0,298,N,0.003355705,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,297,18,0,0,115,115,0,0
KRTAP6-3,1,N,1,0,0,0,1,0,0,0,0,103,N,NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
KSR2,12,N,1,0,0,0,1,0,0,0,0,921,N,0.001085776,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1291,353,149,0.422096317,328,328,131,0.399390244
KTN1,9,N,4,0,0,0,0.5,0.5,0,0,0,1357,Y,0.002947679,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,1794,588,115,0.195578231,402,399,99,0.248120301
KYAT1,1,N,1,0,0,0,1,0,0,0,0,516,N,0.001937984,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
KYNU,30,Y,10,0.5,0.2,0,0.1,0.1,0,0.1,0,465,N,0.021505376,7,4,1,2,0.571428571,0.142857143,0.285714286,2,0,2,0,0,1,0,1,0,1,0,0,1,0,844,279,84,0.301075269,269,269,84,0.312267658
L1CAM,355,Y,125,0.112,0.096,0.016,0.096,0.04,0.008,0.536,0.096,1257,N,0.099443119,30,7,2,21,0.233333333,0.066666667,0.7,27,6,21,0,0.222222222,0.777777778,0,70,29,29,12,0.414285714,0.414285714,0.171428571,1269,418,112,0.267942584,372,372,110,0.295698925
L1TD1,1,N,0,0,0,0,0,0,0,0,0,834,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L2HGDH,90,Y,34,0.058823529,0.117647059,0,0.058823529,0.029411765,0,0.676470588,0.058823529,463,N,0.073434125,6,1,0,5,0.166666667,0,0.833333333,4,0,3,1,0,0.75,0.25,23,11,5,7,0.47826087,0.217391304,0.304347826,680,244,70,0.286885246,191,191,61,0.319371728
L3MBTL1,3,Y,1,0,0,0,1,0,0,0,0,840,N,0.001190476,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1445,574,117,0.203832753,131,131,31,0.236641221
L3MBTL2,3,N,1,0,0,0,1,0,0,0,0,736,N,0.001358696,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1212,430,63,0.146511628,326,326,52,0.159509202
L3MBTL3,4,N,1,0,0,0,1,0,0,0,0,780,N,0.001282051,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1303,445,75,0.168539326,334,334,62,0.185628743
LACC1,11,Y,5,0.2,0,0.2,0.6,0,0,0,0,430,N,0.011627907,2,1,0,1,0.5,0,0.5,3,0,3,0,0,1,0,0,0,0,0,0,0,0,340,159,23,0.144654088,159,159,23,0.144654088
LACTB,5,N,3,0,0,0,1,0,0,0,0,547,N,0.005484461,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,469,216,40,0.185185185,216,216,40,0.185185185
LAD1,5,N,1,0,0,0,1,0,0,0,0,517,N,0.001934236,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,829,308,3,0.00974026,300,300,2,0.006666667
LAG3,3,N,2,0,0,0,1,0,0,0,0,525,N,0.003809524,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,843,268,9,0.03358209,250,250,7,0.028
LAGE3,14,Y,9,0.222222222,0,0,0.555555556,0.222222222,0,0,0,142,N,0.063380282,2,1,1,0,0.5,0.5,0,7,0,7,0,0,1,0,0,0,0,0,0,0,0,124,49,1,0.020408163,49,49,1,0.020408163
LAMA1,297,Y,102,0,0.019607843,0,0.362745098,0.176470588,0.019607843,0.362745098,0.058823529,3075,N,0.033170732,2,1,1,0,0.5,0.5,0,57,10,45,2,0.175438596,0.789473684,0.035087719,37,9,20,8,0.243243243,0.540540541,0.216216216,4661,1806,506,0.280177187,1767,1767,506,0.286361064
LAMA2,2046,Y,681,0.007342144,0.005873715,0.002936858,0.013215859,0.019089574,0.019089574,0.848751836,0.082232012,3122,N,0.218129404,12,3,3,6,0.25,0.25,0.5,38,8,29,1,0.210526316,0.763157895,0.026315789,573,172,301,100,0.30017452,0.52530541,0.17452007,4381,1707,465,0.272407733,1699,1699,465,0.273690406
LAMA3,629,Y,111,0.018018018,0.009009009,0,0.135135135,0.18018018,0.036036036,0.522522523,0.099099099,3333,N,NA,3,1,2,0,0.333333333,0.666666667,0,38,10,24,4,0.263157895,0.631578947,0.105263158,58,20,33,5,0.344827586,0.568965517,0.086206897,4712,1820,441,0.242307692,1721,1721,414,0.240557815
LAMA4,835,Y,357,0.00280112,0.00280112,0,0.025210084,0.06162465,0.019607843,0.81512605,0.072829132,1823,N,0.195831048,2,2,0,0,1,0,0,58,17,36,5,0.293103448,0.620689655,0.086206897,294,69,186,39,0.234693878,0.632653061,0.132653061,2672,1093,267,0.244281793,981,981,259,0.26401631
LAMA5,299,Y,97,0,0.12371134,0,0.463917526,0.175257732,0,0.206185567,0.030927835,3695,N,0.026251691,12,4,8,0,0.333333333,0.666666667,0,62,11,51,0,0.177419355,0.822580645,0,20,3,15,2,0.15,0.75,0.1,7321,2575,635,0.246601942,2376,2376,592,0.249158249
LAMB1,313,Y,63,0.015873016,0,0,0.158730159,0.111111111,0.031746032,0.571428571,0.111111111,1786,N,0.035274356,1,0,0,1,0,0,1,22,4,16,2,0.181818182,0.727272727,0.090909091,36,21,15,0,0.583333333,0.416666667,0,2455,1035,300,0.289855072,936,936,299,0.319444444
LAMB2,435,Y,250,0.012,0.016,0,0.04,0.02,0.032,0.848,0.032,1798,N,0.139043382,7,1,0,6,0.142857143,0,0.857142857,23,4,19,0,0.173913043,0.826086957,0,210,49,142,19,0.233333333,0.676190476,0.09047619,2863,1263,268,0.212193191,1009,1009,232,0.229930624
LAMB3,521,Y,113,0.017699115,0.008849558,0,0.123893805,0.132743363,0.017699115,0.637168142,0.061946903,1172,N,0.096416382,3,1,0,2,0.333333333,0,0.666666667,31,5,26,0,0.161290323,0.838709677,0,71,14,51,6,0.197183099,0.718309859,0.084507042,1459,590,138,0.233898305,589,589,138,0.234295416
LAMB4,22,N,4,0,0,0,0.5,0.25,0.25,0,0,1761,N,0.002271437,0,0,0,0,0,0,0,4,1,3,0,0.25,0.75,0,0,0,0,0,0,0,0,2327,990,157,0.158585859,985,985,157,0.159390863
LAMC1,114,N,11,0,0,0,0.545454545,0.090909091,0,0.363636364,0,1609,N,0.006836544,0,0,0,0,0,0,0,7,0,7,0,0,1,0,4,2,1,1,0.5,0.25,0.25,1927,795,237,0.298113208,795,795,237,0.298113208
LAMC2,460,Y,61,0.032786885,0,0,0.163934426,0.147540984,0.032786885,0.442622951,0.180327869,1193,N,0.051131601,5,1,4,0,0.2,0.8,0,26,1,25,0,0.038461538,0.961538462,0,27,4,21,2,0.148148148,0.777777778,0.074074074,1555,655,110,0.167938931,646,646,110,0.170278638
LAMC3,363,Y,108,0.009259259,0,0,0.157407407,0.111111111,0.092592593,0.509259259,0.12037037,169,N,0.639053254,1,0,0,1,0,0,1,49,7,41,1,0.142857143,0.836734694,0.020408163,56,7,43,6,0.125,0.767857143,0.107142857,2292,978,185,0.189161554,851,851,182,0.21386604
LAMP1,7,N,3,0,0,0,1,0,0,0,0,492,N,0.006097561,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,318,140,23,0.164285714,140,140,23,0.164285714
LAMP2,436,Y,138,0.014492754,0.014492754,0,0.014492754,0.086956522,0.028985507,0.724637681,0.115942029,410,N,0.336585366,4,0,3,1,0,0.75,0.25,17,4,13,0,0.235294118,0.764705882,0,100,19,75,6,0.19,0.75,0.06,411,150,27,0.18,121,121,20,0.165289256
LAMP3,1,N,0,0,0,0,0,0,0,0,0,416,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,224,23,0.102678571,224,224,23,0.102678571
LAMTOR2,19,N,3,0,0,0,0,0,0,1,0,125,N,0.024,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3,1,2,0,0.333333333,0.666666667,0,315,95,28,0.294736842,24,24,4,0.166666667
LAMTOR4,1,N,0,0,0,0,0,0,0,0,0,99,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA
LANCL1,2,N,1,0,0,0,1,0,0,0,0,399,N,0.002506266,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,698,275,87,0.316363636,248,248,76,0.306451613
LANCL2,1,N,0,0,0,0,0,0,0,0,0,525,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,227,60,0.264317181,227,227,60,0.264317181
LANCL3,2,N,1,0,0,0,0,1,0,0,0,420,N,0.002380952,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,336,150,34,0.226666667,144,144,34,0.236111111
LAPTM4B,3,N,0,0,0,0,0,0,0,0,0,317,N,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,352,136,41,0.301470588,112,112,37,0.330357143
LARGE1,421,Y,127,0.031496063,0,0,0,0,0.039370079,0.913385827,0.015748031,756,N,0.167989418,4,3,0,1,0.75,0,0.25,5,0,5,0,0,1,0,115,31,80,4,0.269565217,0.695652174,0.034782609,NA,NA,NA,NA,NA,NA,NA,NA
LARP1,2,N,1,0,0,0,0,1,0,0,0,1096,N,0.000912409,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1193,482,75,0.15560166,370,370,66,0.178378378
LARP4B,4,N,0,0,0,0,0,0,0,0,0,738,N,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,978,456,57,0.125,329,329,49,0.14893617
LARP6,1,N,0,0,0,0,0,0,0,0,0,491,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471,213,25,0.117370892,199,199,25,0.125628141
LARP7,65,Y,11,0,0.090909091,0,0.272727273,0.454545455,0,0.181818182,0,582,N,0.018900344,3,1,1,1,0.333333333,0.333333333,0.333333333,13,0,13,0,0,1,0,2,0,2,0,0,1,0,1272,372,51,0.137096774,299,299,50,0.16722408
LARS1,247,Y,30,0.066666667,0.1,0,0.2,0.266666667,0.033333333,0.3,0.033333333,1176,N,NA,5,2,1,2,0.4,0.2,0.4,16,5,11,0,0.3125,0.6875,0,9,2,3,4,0.222222222,0.333333333,0.444444444,NA,NA,NA,NA,NA,NA,NA,NA
LARS2,194,Y,45,0.155555556,0.177777778,0,0.088888889,0.066666667,0.022222222,0.4,0.088888889,903,N,0.049833887,15,6,4,5,0.4,0.266666667,0.333333333,8,1,7,0,0.125,0.875,0,18,6,10,2,0.333333333,0.555555556,0.111111111,1202,432,96,0.222222222,432,432,96,0.222222222
LAS1L,76,Y,38,0.026315789,0.052631579,0,0.052631579,0.131578947,0,0.710526316,0.026315789,734,N,0.051771117,3,0,3,0,0,1,0,6,0,6,0,0,1,0,27,3,24,0,0.111111111,0.888888889,0,485,152,2,0.013157895,68,68,1,0.014705882
LASP1,4,N,1,0,0,0,0,0,0,1,0,261,Y,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,554,109,24,0.220183486,101,101,24,0.237623762
LAT,26,Y,4,0,0,0,0.25,0.25,0,0.5,0,262,N,0.015267176,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,2,0,0,1,0,159,32,2,0.0625,32,32,2,0.0625
LATS1,2,N,2,0,0,0,0.5,0.5,0,0,0,1130,Y,0.001769912,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,981,480,77,0.160416667,460,460,77,0.167391304
LATS2,19,N,4,0,0,0,0.75,0.25,0,0,0,43,Y,0.093023256,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,1041,506,117,0.231225296,506,506,117,0.231225296
LAX1,3,N,1,0,0,0,0,1,0,0,0,398,N,0.002512563,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,471,219,7,0.03196347,NA,NA,NA,NA
LAYN,3,N,3,0,0,0,1,0,0,0,0,382,N,0.007853403,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,442,33,3,0.090909091,181,181,27,0.149171271
LBHD1,14,Y,9,0.111111111,0,0,0.444444444,0.333333333,0.111111111,0,0,289,N,0.031141869,1,0,0,1,0,0,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LBP,13,N,9,0,0,0,0.444444444,0.444444444,0,0.111111111,0,553,N,0.016274864,0,0,0,0,0,0,0,8,1,7,0,0.125,0.875,0,1,0,1,0,0,1,0,953,308,26,0.084415584,302,302,26,0.086092715
LBR,186,Y,68,0.073529412,0.014705882,0.014705882,0.044117647,0.058823529,0.029411765,0.602941176,0.161764706,615,N,0.110569106,7,0,0,7,0,0,1,12,4,7,1,0.333333333,0.583333333,0.083333333,42,22,9,11,0.523809524,0.214285714,0.261904762,1009,481,159,0.330561331,341,341,147,0.431085044
LBX1,3,N,0,0,0,0,0,0,0,0,0,345,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,121,70,0.578512397,121,121,70,0.578512397
LBX2,2,N,0,0,0,0,0,0,0,0,0,198,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA5,347,Y,105,0,0.019047619,0,0.047619048,0.028571429,0,0.838095238,0.066666667,697,N,0.150645624,2,1,0,1,0.5,0,0.5,7,0,7,0,0,1,0,88,17,69,2,0.193181818,0.784090909,0.022727273,766,377,72,0.190981432,376,376,71,0.188829787
LCAT,53,Y,22,0.590909091,0.045454545,0,0,0,0.090909091,0.272727273,0,440,N,0.05,14,2,0,12,0.142857143,0,0.857142857,2,1,0,1,0.5,0,0.5,6,3,1,2,0.5,0.166666667,0.333333333,1779,628,230,0.366242038,205,205,91,0.443902439
LCE1C,2,N,2,0,0,0,1,0,0,0,0,118,N,0.016949153,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,196,83,0,0,83,83,0,0
LCE3A,1,N,1,0,0,0,1,0,0,0,0,845,N,0.001183432,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,109,58,0,0,58,58,0,0
LCE3C,3,N,3,0,0,0,1,0,0,0,0,868,N,0.003456221,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,62,37,0,0,37,37,0,0
LCK,88,Y,32,0.03125,0,0,0.0625,0.03125,0,0.84375,0.03125,509,Y,0.062868369,1,0,0,1,0,0,1,3,0,3,0,0,1,0,27,9,7,11,0.333333333,0.259259259,0.407407407,849,289,63,0.21799308,169,169,42,0.24852071
LCMT1,1,N,0,0,0,0,0,0,0,0,0,334,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727,197,32,0.162436548,52,44,3,0.068181818
LCN1,2,N,1,0,0,0,1,0,0,0,0,176,N,0.005681818,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,475,136,1,0.007352941,134,134,1,0.007462687
LCN10,1,N,0,0,0,0,0,0,0,0,0,187,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,221,4,0.018099548,49,49,1,0.020408163
LCN2,7,N,2,0,0,0,0.5,0.5,0,0,0,198,N,0.01010101,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,457,130,13,0.1,126,126,12,0.095238095
LCN6,2,N,1,0,0,0,1,0,0,0,0,163,N,0.006134969,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,73,20,0,0,19,19,0,0
LCP1,4,Y,2,0,0,0,1,0,0,0,0,627,N,0.003189793,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,754,256,71,0.27734375,251,251,70,0.278884462
LCP2,2,Y,1,0,0,0,0,0,0,1,0,533,N,0.001876173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,932,268,42,0.156716418,245,245,40,0.163265306
LCT,185,Y,55,0.018181818,0.018181818,0,0.109090909,0,0.072727273,0.763636364,0.018181818,232,N,0.237068966,2,1,1,0,0.5,0.5,0,10,0,10,0,0,1,0,42,3,38,1,0.071428571,0.904761905,0.023809524,1588,680,110,0.161764706,678,678,110,0.162241888
LCTL,3,N,0,0,0,0,0,0,0,0,0,567,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537,177,51,0.288135593,177,177,51,0.288135593
LDAH,1,N,1,0,0,0,1,0,0,0,0,325,N,0.003076923,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LDB2,1,N,0,0,0,0,0,0,0,0,0,373,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,192,52,0.270833333,118,118,49,0.415254237
LDB3,713,Y,328,0.006097561,0.006097561,0,0.015243902,0.070121951,0.021341463,0.759146341,0.12195122,727,N,0.451169188,4,1,3,0,0.25,0.75,0,35,1,34,0,0.028571429,0.971428571,0,246,86,128,32,0.349593496,0.520325203,0.130081301,1308,485,122,0.251546392,333,333,117,0.351351351
LDHA,110,N,18,0,0,0,0.055555556,0.111111111,0,0.722222222,0.111111111,332,N,0.054216867,0,0,0,0,0,0,0,3,1,2,0,0.333333333,0.666666667,0,13,5,5,3,0.384615385,0.384615385,0.230769231,806,30,9,0.3,100,100,41,0.41
LDHB,36,N,15,0,0,0,0,0.066666667,0,0.666666667,0,334,N,0.04491018,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10,4,4,2,0.4,0.4,0.2,424,136,57,0.419117647,149,149,60,0.402684564
LDHC,1,N,1,0,0,0,1,0,0,0,0,332,N,0.003012048,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,344,17,5,0.294117647,140,140,37,0.264285714
LDHD,8,Y,5,0.2,0.4,0,0.4,0,0,0,0,507,N,0.009861933,3,1,0,2,0.333333333,0,0.666666667,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1018,328,124,0.37804878,327,327,123,0.376146789
LDLR,2957,Y,1275,0.061960784,0.298039216,0.144313725,0.005490196,0.043137255,0.001568627,0.261176471,0.184313725,860,N,1.48255814,635,41,1,593,0.064566929,0.001574803,0.933858268,63,38,12,13,0.603174603,0.19047619,0.206349206,330,149,34,147,0.451515152,0.103030303,0.445454545,1595,368,155,0.421195652,559,501,205,0.409181637
LDLRAD3,5,N,4,0,0,0,0.75,0.25,0,0,0,345,N,0.011594203,0,0,0,0,0,0,0,4,2,2,0,0.5,0.5,0,0,0,0,0,0,0,0,460,28,7,0.25,189,189,72,0.380952381
LDLRAP1,232,Y,45,0.022222222,0,0,0.022222222,0.044444444,0.022222222,0.777777778,0.111111111,378,N,0.119047619,1,0,1,0,0,1,0,2,0,2,0,0,1,0,34,5,28,1,0.147058824,0.823529412,0.029411765,567,178,38,0.213483146,178,178,38,0.213483146
LEF1,3,N,1,0,0,0,1,0,0,0,0,399,Y,0.002506266,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,670,185,98,0.52972973,169,169,84,0.49704142
LEFTY1,7,N,4,0,0,0,1,0,0,0,0,366,N,0.010928962,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,470,258,66,0.255813953,213,213,59,0.276995305
LEFTY2,94,Y,30,0,0.033333333,0,0.1,0.1,0.066666667,0.666666667,0.033333333,366,N,0.081967213,1,1,0,0,1,0,0,8,2,6,0,0.25,0.75,0,20,3,13,4,0.15,0.65,0.2,493,219,53,0.242009132,218,218,52,0.23853211
LEMD2,25,Y,4,0.25,0.25,0,0.25,0.25,0,0,0,503,N,0.007952286,2,0,1,1,0,0.5,0.5,4,2,2,0,0.5,0.5,0,0,0,0,0,0,0,0,560,213,40,0.187793427,162,162,29,0.179012346
LEMD3,159,Y,52,0.019230769,0,0,0.038461538,0.192307692,0,0.673076923,0.076923077,854,N,0.06088993,1,0,1,0,0,1,0,12,2,10,0,0.166666667,0.833333333,0,35,2,31,2,0.057142857,0.885714286,0.057142857,1011,430,46,0.106976744,485,485,50,0.103092784
LEP,87,Y,11,0.181818182,0.090909091,0,0,0,0.090909091,0.636363636,0,182,N,0.06043956,3,0,0,3,0,0,1,1,0,1,0,0,1,0,7,2,4,1,0.285714286,0.571428571,0.142857143,196,63,25,0.396825397,63,63,25,0.396825397
LEPR,153,Y,43,0.023255814,0.069767442,0,0.069767442,0,0.023255814,0.790697674,0.023255814,1165,N,0.036909871,4,1,2,1,0.25,0.5,0.25,4,0,4,0,0,1,0,34,13,18,3,0.382352941,0.529411765,0.088235294,1472,566,99,0.174911661,500,500,81,0.162
LEPROTL1,5,N,2,0,0,0,0.5,0,0,0.5,0,131,N,0.015267176,0,0,0,0,0,0,0,3,0,3,0,0,1,0,1,1,0,0,1,0,0,203,71,21,0.295774648,42,42,18,0.428571429
LETM1,53,N,12,0,0,0,0.916666667,0.083333333,0,0,0,762,N,0.015748031,0,0,0,0,0,0,0,12,1,11,0,0.083333333,0.916666667,0,0,0,0,0,0,0,0,1039,356,83,0.233146067,355,355,83,0.233802817
LETM2,1,N,0,0,0,0,0,0,0,0,0,491,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,274,58,0.211678832,217,217,51,0.235023041
LFNG,92,Y,29,0.068965517,0,0,0.034482759,0.103448276,0,0.75862069,0.034482759,379,N,0.07651715,2,1,0,1,0.5,0,0.5,4,1,3,0,0.25,0.75,0,21,7,11,3,0.333333333,0.523809524,0.142857143,872,245,57,0.232653061,196,196,57,0.290816327
LGALS13,1,N,1,0,0,0,0,1,0,0,0,139,N,0.007194245,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,276,66,0,0,88,88,0,0
LGALS2,2,N,1,0,0,0,1,0,0,0,0,132,N,0.007575758,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,751,366,22,0.06010929,87,87,13,0.149425287
LGALS3,6,N,1,0,0,0,1,0,0,0,0,250,N,0.004,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,286,112,15,0.133928571,110,110,13,0.118181818
LGALS3BP,7,N,2,0,0,0,0.5,0.5,0,0,0,585,N,0.003418803,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,769,345,49,0.142028986,344,344,49,0.14244186
LGALS4,2,N,1,0,0,0,1,0,0,0,0,323,N,0.003095975,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,513,118,23,0.194915254,161,161,36,0.223602484
LGALS8,4,N,1,0,0,0,1,0,0,0,0,317,N,0.003154574,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1006,273,63,0.230769231,96,96,20,0.208333333
LGALS9,1,N,1,0,0,0,1,0,0,0,0,355,N,0.002816901,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,662,190,36,0.189473684,159,159,36,0.226415094
